feature,importance
chief_complaint_encoded,0.1965688447819385
AGE,0.13450007408338824
PULSE,0.11842834109130611
BPSYS,0.1106109561994378
BPDIAS,0.10171317107381879
TEMPF,0.08790145751489685
RESPR,0.07206225336319264
POPCT,0.06597554880479921
self_reported_urgency,0.04789660560961481
symptom_count,0.047631542871574326
SEX,0.016711204606032756
